id,Country Name,Category,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
32,Brunei Darussalam,Country,BRN,"Population ages 0-14, total",SP.POP.0014.TO,39553,42024,44414,46706,48864,50858,52679,54350,55919,57456,59020,60697,62482,64124,65454,66526,67430,68282,69219,70384,71858,73648,75675,77757,79830,81952,84176,86554,89075,91679,94303,97141,100380,103561,106241,108393,109950,110855,111169,111083,110747,110190,109447,108582,107642,106697,105795,104941,104143,103421,102797,102411,102293,102295,102234,101998,101677,101306,100885,100452,100001,99525,99030
33,Bhutan,Country,BTN,"Population ages 0-14, total",SP.POP.0014.TO,89755,91546,93501,95855,98579,101740,105357,109159,113132,117284,121620,126126,130805,135669,140696,145892,151269,156814,162508,168317,174212,180177,186195,192256,198346,204434,210532,216621,222643,228575,234091,237420,227444,215789,214518,215312,217217,218409,219437,221403,223660,224924,225184,224456,222755,220607,218509,216247,213775,211353,209107,207124,205526,204247,202857,200882,198388,195236,191177,186517,181742,177288,173260
34,Botswana,Country,BWA,"Population ages 0-14, total",SP.POP.0014.TO,232626,241161,250029,259279,268047,274398,279025,283627,288159,292599,297382,304180,314078,326245,339657,354067,369620,386253,403738,421888,440499,459137,477128,494541,511979,529641,547517,565090,581514,596345,609509,621024,631438,641181,649973,657125,662168,665641,668605,671588,674616,677711,680095,682041,684891,689292,695406,702690,710607,719129,728819,739907,752092,764733,777173,789205,800894,812532,824131,835194,844664,851974,857557
35,Central African Republic,Country,CAF,"Population ages 0-14, total",SP.POP.0014.TO,670268,686864,704298,722890,741141,758745,777443,797580,819221,842070,865365,888859,912423,935909,959458,983018,1000547,1012268,1024503,1037463,1051140,1065539,1080596,1096112,1112409,1130037,1149018,1169687,1195486,1232645,1278305,1325390,1372953,1420300,1466547,1508502,1549098,1591386,1633370,1676079,1719467,1755968,1791634,1832732,1873390,1915414,1957893,2001187,2046957,2094976,2144306,2192537,2238069,2280754,2316269,2349570,2388176,2430333,2475058,2523063,2575787,2629448,2685516
36,Canada,Country,CAN,"Population ages 0-14, total",SP.POP.0014.TO,6041366,6191622,6313813,6416557,6498407,6551214,6580581,6580671,6554185,6502406,6426365,6435307,6336402,6237274,6145174,6057697,5963712,5864299,5755067,5650461,5582104,5542095,5530353,5524086,5517554,5503232,5497264,5530121,5577902,5660557,5734748,5803049,5871716,5924949,5959704,5976608,5984398,5979987,5956206,5921329,5885640,5856793,5831073,5795084,5753454,5703602,5660554,5631318,5623413,5625638,5630310,5637775,5667208,5708454,5756033,5796879,5858994,5911133,5962641,6010245,6031115,6014316,6064148
37,Central Europe and the Baltics,Region,CEB,"Population ages 0-14, total",SP.POP.0014.TO,26541634,26678787,26601121,26432001,26228511,25923689,25536777,25186428,24855686,24531054,24163719,23847123,23697132,23668019,23811000,24103917,24481167,24847148,25125884,25383413,25660326,25937826,26100650,26131469,26160242,26201465,26239155,26233966,26135879,25877627,25478159,24983108,24440252,23925545,23395443,22814552,22224205,21649088,21064161,20460745,19756615,19032966,18347608,17762003,17233489,16779041,16412045,16114693,15913329,15813258,15734239,15679279,15625908,15583585,15548076,15526432,15531727,15581332,15646205,15693482,15698082,15595572,15275518
38,Switzerland,Country,CHE,"Population ages 0-14, total",SP.POP.0014.TO,1280390,1304225,1343333,1372589,1394589,1412501,1429137,1443380,1454154,1461522,1468987,1474604,1471844,1462389,1448122,1422000,1383581,1345877,1311552,1277660,1247629,1222314,1199371,1177475,1157548,1141361,1129617,1123701,1125295,1132549,1148200,1169929,1192521,1214808,1231314,1242725,1249297,1249995,1248482,1248699,1248596,1236918,1224654,1219179,1210995,1200998,1189662,1181319,1179876,1182109,1186594,1193157,1198017,1206821,1219001,1231243,1246235,1262345,1276701,1289621,1300885,1311402,1320444
39,Channel Islands,Region,CHI,"Population ages 0-14, total",SP.POP.0014.TO,23164,23476,23709,23888,24045,24239,24516,24866,25250,25620,25996,26371,26587,26539,26272,25811,25359,25003,24557,24002,23413,22949,22658,22426,22202,21973,21877,21965,22103,22302,22564,22942,23416,23817,24113,24271,24469,24743,24920,24977,24901,24925,25083,25167,25165,25084,24951,24830,24722,24607,24524,24503,24543,24618,24667,24732,24765,24906,25326,25832,26190,26350,26374
40,Chile,Country,CHL,"Population ages 0-14, total",SP.POP.0014.TO,3223537,3294053,3360320,3420995,3477974,3530866,3578122,3622263,3664696,3703880,3736987,3763153,3783735,3800498,3812951,3821405,3826801,3829750,3831917,3832347,3831445,3832116,3834292,3837109,3842980,3854021,3870847,3893354,3920687,3952744,3988777,4026872,4061907,4091310,4116949,4137064,4150172,4155906,4152775,4139460,4116211,4085290,4048099,4002743,3948090,3887557,3825909,3770339,3724223,3685084,3652468,3625197,3602163,3584710,3574549,3569434,3566612,3566762,3572467,3584462,3593501,3597848,3591149
41,China,Country,CHN,"Population ages 0-14, total",SP.POP.0014.TO,269127117,264042597,266382491,277379376,288010168,296676572,305546238,311983980,318615079,326786440,334635111,342826464,349174328,355063879,362565690,369650831,375551391,376145088,369103709,360983471,354475740,348911568,346014143,341710844,334972495,329169987,325258816,324118877,323982230,324718637,327891901,330896251,332299991,333337420,333265842,331806471,329053545,324508713,319825879,315363294,309776041,302490513,293081480,283406060,274003025,263986211,256219252,251991436,249338892,247778966,246867722,246638895,247901125,249844959,251885241,253294944,254624623,256968903,257975287,257075507,254352475,249536785,243552723
42,Cote d'Ivoire,Country,CIV,"Population ages 0-14, total",SP.POP.0014.TO,1598750,1661059,1729520,1805511,1887084,1971836,2060284,2152797,2249518,2350736,2457121,2569696,2689282,2816695,2952609,3096182,3209476,3303159,3422630,3567053,3735416,3922581,4123915,4335855,4554790,4776642,4998324,5192812,5303922,5423359,5608236,5789870,5963953,6133193,6300673,6472401,6654132,6849389,7065889,7302877,7554679,7818411,8057754,8255645,8430436,8589628,8739381,8880946,9018649,9156580,9293577,9473503,9691230,9894414,10092219,10292202,10493835,10699906,10901597,11096222,11290545,11485339,11679841
